respondent_id,graduate_id,age_group,highest_education_level,programming_level_before,programming_level_after,employment_before,employment_after,employment_type_before,employment_type_after,it_before,it_after,programmer_after,continued_studying,post_training_study_type,course,cohort,improved_job_profile,interested_job_opportunities
450,1400,Under 25,Secondary Complete,Trainee,Trainee,Employed,Employed,Employee,Employee,False,True,True,True,Free Quarterly Course;Free Annual Course;Paid Quarterly Course,Big Data,2022-1,Neutral,False
451,2102,45+,University Complete,Junior,Junior,Employed,Employed,Employee,Own Business,False,False,False,True,Free Tertiary Education;Paid University Education;Paid Annual Course,Testing QA,2020-2,Quite a Bit,True
452,105,Under 25,Secondary Complete,Trainee,Junior,Retired,Retired,Informal Worker,Employee,False,False,False,True,Free Quarterly Course;Paid University Education;Paid Tertiary Education,FullStack JavaScript / Node.js,2021-1,Quite a Bit,True
453,2731,25-34,Secondary Complete,Junior,Senior,Employed,Employed,Self-employed,Employee,False,True,True,True,Free Tertiary Education;Paid University Education;Paid Annual Course,UX/UI Design,2022-1,Neutral,True
454,1828,Under 25,Tertiary Incomplete,Trainee,Trainee,Unemployed and Looking for Work,Employed,Informal Worker,Employee,False,False,False,False,,UX/UI Design,2021-2,Neutral,False
455,2403,Under 25,University Incomplete,No Programming Knowledge,Trainee,Unemployed and Looking for Work,Unemployed and Looking for Work,Employee,Self-employed,False,False,False,False,,UX/UI Design,2021-2,A Little,True
456,911,35-44,Secondary Complete,Senior,Senior,Employed,Employed,Self-employed,Own Business,False,False,False,False,,Testing QA,2022-1,A Little,True
457,2873,Under 25,University Incomplete,Trainee,Junior,Unemployed and Not Looking for Work,Employed,Informal Worker,Employee,False,False,False,True,Free Tertiary Education;Paid University Education,Testing QA,2020-2,Quite a Bit,True
458,1490,25-34,Tertiary Complete,Trainee,Junior,Employed,Employed,Employee,Self-employed,True,False,False,True,Paid University Education;Free Quarterly Course;Free University Education,FullStack JavaScript / Node.js,2020-2,A Little,True
459,2825,35-44,Secondary Complete,Semi Senior,Senior,Employed,Employed,Own Business,Self-employed,False,False,False,True,Paid Tertiary Education,FullStack Python,2021-2,Neutral,False
460,1136,25-34,University Incomplete,Semi Senior,Semi Senior,Employed,Employed,Self-employed,Self-employed,True,False,False,True,Paid University Education;Free Quarterly Course,UX/UI Design,2022-1,Not at All,False
461,2478,35-44,University Complete,Junior,Junior,Employed,Employed,Employee,Own Business,False,False,False,False,,FullStack Java,2021-2,A Little,True
462,515,25-34,University Incomplete,Semi Senior,Semi Senior,Unemployed and Not Looking for Work,Employed,Informal Worker,Informal Worker,False,False,False,False,,FullStack PHP,2020-2,Quite a Bit,True
463,1928,35-44,Tertiary Complete,Senior,Senior,Unemployed and Looking for Work,Employed,Employee,Employee,False,False,False,False,,Testing QA,2022-1,Quite a Bit,False
464,1776,25-34,University Incomplete,Trainee,Junior,Unemployed and Looking for Work,Employed,Self-employed,Self-employed,False,True,True,False,,FullStack Python,2021-1,Neutral,True
465,2611,25-34,Secondary Complete,No Programming Knowledge,Trainee,Unemployed and Looking for Work,Employed,Self-employed,Self-employed,False,True,True,True,Paid Tertiary Education;Free Tertiary Education;Other,FullStack PHP,2021-1,Quite a Bit,True
466,668,45+,Tertiary Incomplete,Trainee,Junior,Employed,Employed,Own Business,Informal Worker,True,True,True,True,Paid Annual Course;Free Tertiary Education,FullStack Java,2020-2,Quite a Bit,False
467,1054,25-34,Tertiary Complete,Trainee,Junior,Employed,Employed,Self-employed,Self-employed,True,False,False,True,Paid Quarterly Course;Free University Education;Free Quarterly Course,Testing QA,2020-2,A Lot,True
468,143,25-34,Secondary Complete,Trainee,Trainee,Unemployed and Looking for Work,Unemployed and Not Looking for Work,Informal Worker,Informal Worker,False,False,False,False,,FullStack Python,2021-1,Neutral,True
469,1957,35-44,Tertiary Complete,No Programming Knowledge,Trainee,Employed,Employed,Self-employed,Self-employed,False,False,False,True,Free Annual Course;Other;Free Tertiary Education,UX/UI Design,2021-2,A Little,True
470,755,Under 25,Tertiary Incomplete,No Programming Knowledge,Trainee,Unemployed and Looking for Work,Unemployed and Not Looking for Work,Own Business,Self-employed,False,False,False,False,,UX/UI Design,2021-1,A Lot,False
471,2985,25-34,Tertiary Incomplete,Trainee,Trainee,Employed,Employed,Employee,Self-employed,False,True,False,True,Free University Education;Paid Annual Course,FullStack Java,2020-2,A Little,False
472,1875,Under 25,University Complete,No Programming Knowledge,Trainee,Employed,Employed,Own Business,Own Business,False,True,False,False,,Testing QA,2022-1,Quite a Bit,False
473,1026,Under 25,Secondary Complete,No Programming Knowledge,Trainee,Unemployed and Looking for Work,Employed,Self-employed,Self-employed,False,False,False,True,Paid Quarterly Course;Free Tertiary Education,UX/UI Design,2022-1,A Little,True
474,2120,25-34,University Incomplete,No Programming Knowledge,Junior,Unemployed and Not Looking for Work,Unemployed and Looking for Work,Self-employed,Own Business,False,False,False,True,Free Quarterly Course;Paid Quarterly Course,FullStack PHP,2021-1,A Lot,True
475,2952,35-44,Tertiary Complete,Trainee,Trainee,Unemployed and Not Looking for Work,Unemployed and Looking for Work,Self-employed,Self-employed,False,False,False,False,,UX/UI Design,2021-1,Quite a Bit,True
476,1092,35-44,Postgraduate Complete,Junior,Junior,Employed,Employed,Employee,Self-employed,True,False,False,False,,Testing QA,2021-1,A Little,True
477,2048,Under 25,University Incomplete,No Programming Knowledge,Junior,Employed,Unemployed and Not Looking for Work,Own Business,Own Business,False,False,False,False,,FullStack Python,2021-1,A Lot,True
478,1758,25-34,Tertiary Complete,Trainee,Trainee,Employed,Employed,Self-employed,Self-employed,False,True,False,True,Paid Quarterly Course;Paid Tertiary Education;Paid University Education,FullStack JavaScript / Node.js,2021-2,Quite a Bit,True
479,950,35-44,Tertiary Incomplete,Trainee,Trainee,Employed,Employed,Informal Worker,Self-employed,False,True,True,False,,Testing QA,2021-1,Quite a Bit,True
480,1935,25-34,Tertiary Complete,Trainee,Junior,Employed,Employed,Informal Worker,Self-employed,False,True,True,False,,Testing QA,2022-1,Neutral,True
481,2916,45+,Secondary Complete,Junior,Junior,Employed,Employed,Informal Worker,Own Business,True,True,False,True,Paid Quarterly Course;Paid University Education;Free Quarterly Course,Testing QA,2022-1,Quite a Bit,True
482,1614,25-34,Postgraduate Incomplete,Semi Senior,Semi Senior,Unemployed and Looking for Work,Unemployed and Looking for Work,Informal Worker,Informal Worker,False,False,False,True,Paid Annual Course;Other,FullStack Java,2021-2,A Lot,False
483,2377,Under 25,University Incomplete,Semi Senior,Junior,Employed,Employed,Employee,Informal Worker,False,True,True,False,,FullStack JavaScript / Node.js,2021-1,Not at All,True
484,89,25-34,Tertiary Incomplete,Semi Senior,Semi Senior,Employed,Employed,Self-employed,Employee,False,False,False,True,Free Tertiary Education,Testing QA,2021-2,A Lot,False
485,1901,25-34,Tertiary Incomplete,Junior,Trainee,Unemployed and Looking for Work,Employed,Self-employed,Self-employed,False,True,False,True,Paid Tertiary Education,Big Data,2021-2,Neutral,True
486,355,25-34,Tertiary Incomplete,No Programming Knowledge,Junior,Employed,Employed,Self-employed,Employee,False,True,True,False,,UX/UI Design,2021-1,A Lot,True
487,469,25-34,Tertiary Incomplete,Trainee,Trainee,Unemployed and Not Looking for Work,Employed,Informal Worker,Informal Worker,False,True,True,False,,FullStack Java,2022-1,A Lot,True
488,2884,25-34,Tertiary Incomplete,Junior,Junior,Unemployed and Looking for Work,Unemployed and Looking for Work,Own Business,Self-employed,False,False,False,True,Free Annual Course,Testing QA,2020-2,Quite a Bit,False
489,2399,35-44,Postgraduate Incomplete,Trainee,Junior,Employed,Employed,Informal Worker,Self-employed,False,False,False,False,,Big Data,2021-2,Neutral,False
490,489,25-34,Tertiary Complete,No Programming Knowledge,Trainee,Employed,Employed,Self-employed,Informal Worker,False,False,False,True,Paid Quarterly Course;Free Tertiary Education,FullStack PHP,2021-2,A Little,False
491,2949,25-34,University Complete,Trainee,Trainee,Employed,Employed,Self-employed,Informal Worker,True,False,False,True,Free University Education,FullStack Python,2021-2,A Little,False
492,2094,45+,University Complete,No Programming Knowledge,Trainee,Employed,Employed,Informal Worker,Self-employed,False,True,True,False,,FullStack PHP,2020-2,A Lot,True
493,2848,45+,University Complete,No Programming Knowledge,Trainee,Employed,Unemployed and Not Looking for Work,Own Business,Self-employed,True,False,False,True,Paid Quarterly Course;Free Annual Course,Big Data,2022-1,A Little,True
494,1075,Under 25,Tertiary Incomplete,Junior,Semi Senior,Unemployed and Not Looking for Work,Employed,Self-employed,Informal Worker,False,False,False,True,Paid Annual Course;Free Quarterly Course,Testing QA,2021-1,Neutral,True
495,2534,Under 25,Tertiary Incomplete,Trainee,Junior,Unemployed and Not Looking for Work,Unemployed and Looking for Work,Self-employed,Employee,False,False,False,False,,FullStack PHP,2021-2,A Lot,False
496,709,25-34,University Incomplete,Junior,Junior,Employed,Employed,Employee,Employee,True,False,False,True,Free Quarterly Course;Paid University Education,Big Data,2021-1,Quite a Bit,True
497,2708,35-44,Secondary Complete,No Programming Knowledge,Junior,Unemployed and Not Looking for Work,Employed,Informal Worker,Own Business,False,False,False,True,Paid Annual Course;Paid Quarterly Course,FullStack JavaScript / Node.js,2022-1,A Little,True
498,1488,25-34,Secondary Complete,No Programming Knowledge,Trainee,Employed,Employed,Informal Worker,Informal Worker,True,True,True,False,,Testing QA,2021-2,A Little,True
499,2583,35-44,Tertiary Complete,Trainee,Junior,Employed,Employed,Informal Worker,Employee,False,False,False,False,,FullStack Python,2022-1,Not at All,True
500,1305,25-34,University Complete,No Programming Knowledge,Junior,Employed,Employed,Informal Worker,Self-employed,False,False,False,True,Free Quarterly Course;Free University Education;Paid Tertiary Education,Big Data,2020-2,Neutral,True
501,1686,45+,Secondary Complete,Semi Senior,Semi Senior,Employed,Employed,Informal Worker,Self-employed,True,True,False,True,Free Quarterly Course;Paid Quarterly Course,FullStack Python,2021-1,Quite a Bit,True
502,1123,35-44,Secondary Complete,No Programming Knowledge,Junior,Employed,Employed,Own Business,Own Business,False,True,True,True,Free Tertiary Education;Paid Quarterly Course;Paid Tertiary Education,Testing QA,2021-1,Neutral,True
503,2381,45+,University Complete,No Programming Knowledge,Junior,Employed,Employed,Employee,Employee,False,False,False,False,,UX/UI Design,2020-2,A Little,True
504,400,45+,University Complete,No Programming Knowledge,Junior,Employed,Employed,Self-employed,Employee,False,True,True,True,Free Quarterly Course;Paid Quarterly Course;Free Tertiary Education,Testing QA,2020-2,Not at All,False
505,1003,25-34,Tertiary Complete,No Programming Knowledge,Trainee,Unemployed and Not Looking for Work,Employed,Employee,Own Business,False,True,True,True,Paid Annual Course;Paid Quarterly Course,FullStack PHP,2021-1,A Little,False
506,2292,Under 25,University Incomplete,No Programming Knowledge,Trainee,Employed,Employed,Employee,Informal Worker,False,True,False,True,Paid Quarterly Course;Paid Annual Course,FullStack Java,2021-1,Not at All,False
507,1737,45+,University Incomplete,Junior,Junior,Employed,Unemployed and Looking for Work,Informal Worker,Employee,True,False,False,False,,FullStack PHP,2020-2,A Lot,False
508,2772,25-34,University Complete,Trainee,Junior,Employed,Unemployed and Looking for Work,Own Business,Informal Worker,False,False,False,True,Paid Annual Course;Free University Education;Other,Testing QA,2021-2,A Little,True
509,514,Under 25,Secondary Complete,Trainee,Trainee,Unemployed and Not Looking for Work,Employed,Informal Worker,Self-employed,False,False,False,True,Free University Education,Big Data,2022-1,Quite a Bit,True
510,1818,25-34,Tertiary Complete,No Programming Knowledge,Trainee,Employed,Employed,Own Business,Employee,False,True,True,False,,FullStack JavaScript / Node.js,2022-1,Quite a Bit,True
511,699,25-34,University Complete,Junior,Semi Senior,Employed,Employed,Own Business,Informal Worker,False,True,True,True,Free Tertiary Education;Paid University Education,FullStack Python,2022-1,Neutral,False
512,1802,25-34,Tertiary Incomplete,Trainee,Trainee,Employed,Employed,Own Business,Self-employed,False,True,True,True,Paid Tertiary Education;Free University Education;Paid Annual Course,FullStack Python,2020-2,Quite a Bit,False
513,378,25-34,Tertiary Complete,Junior,Junior,Retired,Retired,Self-employed,Informal Worker,False,False,False,False,,FullStack JavaScript / Node.js,2021-2,Quite a Bit,True
514,1930,25-34,Secondary Complete,Senior,Senior,Employed,Employed,Own Business,Own Business,False,False,False,False,,Testing QA,2021-2,A Little,True
515,1515,35-44,Tertiary Complete,Trainee,Trainee,Unemployed and Looking for Work,Employed,Employee,Informal Worker,False,True,False,False,,FullStack PHP,2021-1,Not at All,False
516,2077,Under 25,Secondary Complete,Junior,Junior,Employed,Employed,Self-employed,Self-employed,True,False,False,True,Free Annual Course;Other,UX/UI Design,2020-2,Neutral,True
517,1634,25-34,Tertiary Incomplete,Trainee,Semi Senior,Unemployed and Not Looking for Work,Unemployed and Looking for Work,Informal Worker,Own Business,False,False,False,True,Free Tertiary Education;Free Quarterly Course;Paid University Education,FullStack Java,2022-1,Neutral,True
518,2356,25-34,Secondary Complete,No Programming Knowledge,Trainee,Unemployed and Looking for Work,Unemployed and Not Looking for Work,Own Business,Self-employed,False,False,False,True,Paid Tertiary Education,Testing QA,2021-1,A Lot,True
519,2215,25-34,Postgraduate Incomplete,No Programming Knowledge,Junior,Employed,Unemployed and Not Looking for Work,Own Business,Employee,False,False,False,False,,FullStack Java,2022-1,Neutral,True
520,1116,Under 25,Secondary Complete,Junior,Junior,Employed,Unemployed and Looking for Work,Self-employed,Employee,True,False,False,True,Free Tertiary Education;Paid Tertiary Education;Paid Quarterly Course,Big Data,2020-2,Not at All,True
521,627,25-34,Tertiary Complete,Trainee,Trainee,Employed,Employed,Own Business,Employee,False,False,False,True,Other;Paid Annual Course;Free Quarterly Course,FullStack JavaScript / Node.js,2021-2,Neutral,True
522,538,25-34,University Complete,No Programming Knowledge,Trainee,Unemployed and Looking for Work,Employed,Self-employed,Own Business,False,False,False,False,,FullStack JavaScript / Node.js,2021-2,Neutral,True
523,2786,35-44,University Complete,Trainee,Junior,Unemployed and Not Looking for Work,Unemployed and Not Looking for Work,Employee,Informal Worker,False,False,False,False,,FullStack JavaScript / Node.js,2020-2,A Lot,False
524,2651,Under 25,Tertiary Incomplete,Trainee,Trainee,Unemployed and Not Looking for Work,Unemployed and Looking for Work,Own Business,Employee,False,False,False,True,Paid Tertiary Education;Free Annual Course,FullStack PHP,2021-1,Quite a Bit,False
525,299,25-34,Tertiary Complete,Trainee,Trainee,Employed,Employed,Own Business,Employee,True,True,True,True,Paid University Education,UX/UI Design,2021-2,Quite a Bit,False
526,2693,Under 25,Secondary Complete,Trainee,Trainee,Unemployed and Looking for Work,Employed,Own Business,Informal Worker,False,True,False,False,,FullStack PHP,2020-2,Quite a Bit,True
527,2566,35-44,Tertiary Incomplete,No Programming Knowledge,Junior,Employed,Employed,Informal Worker,Self-employed,False,False,False,False,,FullStack Python,2021-1,A Lot,True
528,462,35-44,University Complete,Junior,Junior,Employed,Employed,Informal Worker,Informal Worker,True,True,True,False,,Testing QA,2022-1,Quite a Bit,False
529,730,25-34,Postgraduate Complete,Senior,Senior,Employed,Employed,Self-employed,Informal Worker,False,True,True,True,Paid Annual Course,FullStack Python,2021-2,Neutral,True
530,230,Under 25,Tertiary Incomplete,Junior,Junior,Employed,Employed,Employee,Own Business,False,True,True,True,Free Annual Course,FullStack Java,2021-2,A Lot,True
531,1932,45+,Secondary Complete,Trainee,Junior,Unemployed and Looking for Work,Employed,Self-employed,Self-employed,False,True,True,False,,UX/UI Design,2022-1,A Little,True
532,1922,Under 25,University Incomplete,No Programming Knowledge,Trainee,Unemployed and Looking for Work,Employed,Employee,Self-employed,False,False,False,False,,UX/UI Design,2021-2,Neutral,True
533,2588,25-34,Secondary Complete,No Programming Knowledge,Trainee,Unemployed and Looking for Work,Employed,Self-employed,Self-employed,False,True,True,False,,Testing QA,2021-1,Quite a Bit,True
534,2422,25-34,Tertiary Complete,Semi Senior,Semi Senior,Employed,Employed,Self-employed,Informal Worker,True,False,False,False,,Big Data,2021-2,Quite a Bit,False
535,1516,25-34,Tertiary Incomplete,Trainee,Trainee,Employed,Employed,Self-employed,Self-employed,False,True,False,True,Free Annual Course;Paid Annual Course;Free Quarterly Course,UX/UI Design,2022-1,A Little,True
536,2137,25-34,Secondary Incomplete,Trainee,Trainee,Employed,Employed,Informal Worker,Informal Worker,False,True,True,True,Paid Annual Course;Paid University Education,FullStack Java,2020-2,A Lot,True
537,2476,45+,Secondary Complete,No Programming Knowledge,Junior,Unemployed and Looking for Work,Unemployed and Not Looking for Work,Own Business,Own Business,False,False,False,True,Free University Education;Paid Tertiary Education,FullStack Python,2020-2,A Lot,True
538,2034,25-34,University Incomplete,Trainee,Trainee,Unemployed and Looking for Work,Unemployed and Looking for Work,Employee,Self-employed,False,False,False,True,Free University Education,Testing QA,2021-2,A Lot,True
539,1369,Under 25,Tertiary Incomplete,Trainee,Junior,Employed,Unemployed and Not Looking for Work,Informal Worker,Self-employed,True,False,False,False,,Testing QA,2020-2,A Lot,True
540,496,25-34,Tertiary Complete,Trainee,Trainee,Unemployed and Looking for Work,Employed,Employee,Employee,False,True,False,True,Other;Paid Tertiary Education,Big Data,2020-2,Quite a Bit,True
541,982,25-34,University Incomplete,Senior,Senior,Employed,Employed,Informal Worker,Own Business,False,True,False,True,Free Annual Course;Paid Annual Course;Paid Tertiary Education,UX/UI Design,2020-2,Quite a Bit,True
542,1110,25-34,Secondary Complete,Trainee,Trainee,Unemployed and Looking for Work,Employed,Self-employed,Own Business,False,True,False,False,,FullStack JavaScript / Node.js,2022-1,Quite a Bit,True
543,2690,35-44,University Complete,Junior,Junior,Employed,Employed,Self-employed,Own Business,True,True,True,False,,UX/UI Design,2020-2,Quite a Bit,True
544,1633,25-34,Tertiary Incomplete,No Programming Knowledge,Junior,Employed,Unemployed and Looking for Work,Self-employed,Own Business,True,False,False,True,Free Tertiary Education,Big Data,2022-1,Not at All,True
545,2698,25-34,Tertiary Incomplete,No Programming Knowledge,Trainee,Employed,Employed,Informal Worker,Informal Worker,False,False,False,True,Free University Education;Free Annual Course;Paid Quarterly Course,FullStack Python,2020-2,A Little,True
546,1149,25-34,University Complete,Junior,Semi Senior,Employed,Employed,Own Business,Self-employed,True,False,False,True,Paid Tertiary Education;Paid Quarterly Course;Paid University Education,FullStack Java,2022-1,A Little,False
547,2711,35-44,University Complete,Junior,Junior,Unemployed and Not Looking for Work,Unemployed and Not Looking for Work,Self-employed,Informal Worker,False,False,False,False,,FullStack Java,2020-2,Neutral,True
548,625,Under 25,University Incomplete,Junior,Junior,Employed,Employed,Employee,Informal Worker,False,True,True,True,Free Tertiary Education,FullStack Java,2021-1,Not at All,False
549,1955,35-44,Tertiary Complete,Trainee,Trainee,Unemployed and Not Looking for Work,Unemployed and Looking for Work,Own Business,Employee,False,False,False,False,,FullStack Python,2020-2,A Lot,True
550,2286,25-34,Tertiary Complete,Semi Senior,Semi Senior,Employed,Employed,Self-employed,Employee,False,False,False,True,Paid Annual Course,Big Data,2020-2,Not at All,False
551,2264,25-34,Tertiary Complete,Semi Senior,Semi Senior,Unemployed and Not Looking for Work,Unemployed and Looking for Work,Own Business,Self-employed,False,False,False,False,,UX/UI Design,2021-2,Neutral,False
552,1509,35-44,Tertiary Complete,No Programming Knowledge,Trainee,Employed,Employed,Self-employed,Own Business,True,True,False,True,Other,Testing QA,2021-1,A Little,False
553,1727,35-44,University Complete,Junior,Junior,Retired,Retired,Self-employed,Own Business,False,False,False,False,,FullStack Python,2020-2,Quite a Bit,False
554,2888,Under 25,Tertiary Incomplete,Junior,Junior,Employed,Employed,Own Business,Informal Worker,False,False,False,True,Free Annual Course;Free Quarterly Course,FullStack PHP,2021-2,Neutral,False
555,1936,Under 25,Secondary Complete,Junior,Junior,Employed,Employed,Employee,Employee,False,False,False,False,,Big Data,2022-1,A Lot,True
556,1056,25-34,University Incomplete,Trainee,Semi Senior,Unemployed and Looking for Work,Unemployed and Looking for Work,Employee,Self-employed,False,False,False,False,,Big Data,2022-1,Not at All,False
557,2706,25-34,Tertiary Incomplete,No Programming Knowledge,Junior,Unemployed and Looking for Work,Employed,Own Business,Informal Worker,False,False,False,True,Free Tertiary Education,UX/UI Design,2021-1,A Lot,True
558,629,25-34,University Incomplete,Trainee,Junior,Unemployed and Looking for Work,Employed,Employee,Employee,False,False,False,True,Paid Tertiary Education;Other,FullStack PHP,2022-1,Not at All,True
559,1434,25-34,Secondary Complete,Junior,Junior,Employed,Unemployed and Looking for Work,Employee,Own Business,False,False,False,True,Free Quarterly Course,FullStack PHP,2020-2,A Little,True
560,306,25-34,University Incomplete,No Programming Knowledge,Trainee,Employed,Employed,Own Business,Own Business,True,True,False,True,Free University Education;Paid Quarterly Course;Free Quarterly Course,FullStack Java,2022-1,Quite a Bit,False
561,2901,25-34,Tertiary Incomplete,No Programming Knowledge,Trainee,Employed,Employed,Self-employed,Informal Worker,False,False,False,False,,Big Data,2022-1,A Lot,True
562,2002,25-34,Secondary Complete,Trainee,Junior,Employed,Employed,Own Business,Self-employed,True,True,True,True,Other,FullStack PHP,2022-1,A Lot,False
563,2988,35-44,Postgraduate Incomplete,Junior,Semi Senior,Employed,Employed,Self-employed,Informal Worker,False,True,True,True,Paid Annual Course;Free Quarterly Course;Free University Education,UX/UI Design,2021-2,A Lot,False
564,1055,25-34,University Complete,Trainee,Trainee,Employed,Employed,Self-employed,Informal Worker,False,True,True,False,,FullStack Java,2022-1,A Lot,True
565,2578,45+,Postgraduate Complete,Trainee,Senior,Unemployed and Not Looking for Work,Employed,Own Business,Self-employed,False,False,False,False,,FullStack Java,2020-2,A Little,False
566,74,25-34,University Complete,No Programming Knowledge,Trainee,Employed,Unemployed and Looking for Work,Employee,Employee,False,False,False,False,,FullStack PHP,2020-2,A Little,True
567,1833,Under 25,Secondary Complete,Junior,Junior,Unemployed and Looking for Work,Unemployed and Looking for Work,Employee,Employee,False,False,False,False,,FullStack Java,2021-2,Quite a Bit,True
568,1386,Under 25,Tertiary Complete,No Programming Knowledge,Trainee,Unemployed and Looking for Work,Employed,Own Business,Own Business,False,True,False,True,Free Quarterly Course;Paid Tertiary Education;Paid University Education,UX/UI Design,2022-1,A Lot,True
569,1472,45+,University Complete,No Programming Knowledge,Trainee,Employed,Employed,Own Business,Own Business,False,False,False,True,Free University Education;Paid Tertiary Education,Big Data,2021-1,Quite a Bit,True
570,737,35-44,Postgraduate Complete,Trainee,Trainee,Unemployed and Not Looking for Work,Employed,Self-employed,Own Business,False,False,False,True,Paid Tertiary Education;Free Annual Course;Paid Quarterly Course,FullStack Python,2021-1,Neutral,True
571,2934,35-44,University Incomplete,Trainee,Junior,Unemployed and Not Looking for Work,Employed,Informal Worker,Own Business,False,False,False,True,Paid Annual Course;Free Quarterly Course,FullStack PHP,2020-2,Neutral,True
572,1583,35-44,Secondary Complete,Junior,Junior,Unemployed and Looking for Work,Unemployed and Looking for Work,Self-employed,Own Business,False,False,False,True,Free Quarterly Course;Paid Quarterly Course,FullStack Java,2020-2,A Lot,True
573,2953,Under 25,Secondary Complete,Junior,Junior,Unemployed and Looking for Work,Employed,Self-employed,Informal Worker,False,True,True,True,Other;Paid Annual Course,FullStack PHP,2021-1,Quite a Bit,True
574,46,Under 25,University Incomplete,Junior,Trainee,Employed,Employed,Own Business,Informal Worker,False,True,False,False,,Testing QA,2020-2,Neutral,True
575,1733,Under 25,Secondary Complete,No Programming Knowledge,Trainee,Employed,Retired,Informal Worker,Own Business,False,False,False,True,Free University Education;Other;Free Annual Course,FullStack Java,2021-1,Neutral,True
576,919,35-44,University Complete,No Programming Knowledge,Trainee,Retired,Retired,Self-employed,Employee,False,False,False,True,Free Quarterly Course,Big Data,2021-1,Neutral,True
577,2121,Under 25,University Incomplete,No Programming Knowledge,Trainee,Employed,Employed,Self-employed,Employee,True,True,False,True,Paid University Education,Big Data,2021-2,A Little,False
578,1381,Under 25,Secondary Complete,Junior,Junior,Unemployed and Not Looking for Work,Unemployed and Not Looking for Work,Self-employed,Employee,False,False,False,False,,FullStack Java,2021-2,A Lot,True
579,2170,35-44,University Complete,Trainee,Trainee,Employed,Employed,Self-employed,Self-employed,True,False,False,True,Free Quarterly Course;Free Tertiary Education;Free University Education,FullStack Python,2020-2,Quite a Bit,False
580,1921,Under 25,Secondary Incomplete,Trainee,Trainee,Unemployed and Not Looking for Work,Unemployed and Not Looking for Work,Employee,Informal Worker,False,False,False,False,,FullStack Python,2022-1,Neutral,True
581,2906,25-34,University Incomplete,Semi Senior,Junior,Unemployed and Looking for Work,Employed,Self-employed,Self-employed,False,False,False,False,,FullStack Python,2020-2,Neutral,True
582,733,Under 25,University Incomplete,No Programming Knowledge,Trainee,Unemployed and Not Looking for Work,Unemployed and Looking for Work,Own Business,Employee,False,False,False,False,,FullStack PHP,2021-1,A Little,False
583,632,Under 25,University Incomplete,No Programming Knowledge,Trainee,Unemployed and Not Looking for Work,Employed,Self-employed,Employee,False,False,False,False,,UX/UI Design,2022-1,A Little,True
584,22,45+,University Complete,Trainee,Junior,Unemployed and Looking for Work,Employed,Own Business,Self-employed,False,True,True,False,,Big Data,2022-1,Quite a Bit,True
585,537,35-44,Tertiary Complete,Trainee,Trainee,Unemployed and Looking for Work,Employed,Self-employed,Own Business,False,False,False,True,Paid Quarterly Course;Paid University Education;Paid Annual Course,FullStack PHP,2020-2,Not at All,True
586,882,25-34,Secondary Complete,No Programming Knowledge,Trainee,Employed,Employed,Self-employed,Self-employed,False,False,False,False,,UX/UI Design,2021-1,A Lot,True
587,2704,25-34,Postgraduate Complete,No Programming Knowledge,Junior,Employed,Employed,Self-employed,Employee,False,True,True,False,,FullStack JavaScript / Node.js,2021-1,Quite a Bit,True
588,2530,Under 25,Secondary Incomplete,Junior,Junior,Employed,Employed,Informal Worker,Employee,False,True,True,True,Paid University Education;Free University Education;Free Annual Course,FullStack JavaScript / Node.js,2020-2,Quite a Bit,False
589,343,45+,University Incomplete,No Programming Knowledge,Trainee,Employed,Employed,Self-employed,Informal Worker,True,False,False,True,Other;Paid Annual Course,FullStack JavaScript / Node.js,2021-1,A Little,True
590,1909,Under 25,University Incomplete,Trainee,Junior,Employed,Employed,Informal Worker,Self-employed,False,False,False,True,Paid Tertiary Education;Free Quarterly Course;Paid University Education,FullStack Java,2020-2,Neutral,True
591,1455,35-44,University Complete,Trainee,Trainee,Unemployed and Looking for Work,Retired,Self-employed,Employee,False,False,False,False,,UX/UI Design,2020-2,A Lot,False
592,2382,Under 25,Tertiary Complete,Trainee,Trainee,Employed,Employed,Self-employed,Self-employed,False,True,True,True,Free University Education,FullStack Java,2021-2,A Lot,False
593,2803,25-34,Postgraduate Incomplete,Junior,Junior,Employed,Employed,Self-employed,Own Business,False,False,False,True,Paid Annual Course;Free Quarterly Course,FullStack Python,2021-1,Neutral,True
594,327,25-34,University Incomplete,No Programming Knowledge,Trainee,Employed,Employed,Employee,Informal Worker,False,False,False,True,Paid Tertiary Education,Big Data,2021-2,Quite a Bit,False
595,2967,45+,University Complete,Trainee,Junior,Employed,Employed,Informal Worker,Informal Worker,False,True,True,False,,FullStack PHP,2020-2,Not at All,True
596,1699,25-34,Tertiary Incomplete,Semi Senior,Junior,Employed,Employed,Self-employed,Informal Worker,False,False,False,False,,FullStack Python,2020-2,Neutral,False
597,1372,25-34,Postgraduate Incomplete,No Programming Knowledge,Trainee,Unemployed and Looking for Work,Unemployed and Not Looking for Work,Own Business,Own Business,False,False,False,False,,FullStack PHP,2020-2,A Lot,False
598,463,35-44,University Complete,Trainee,Trainee,Employed,Employed,Self-employed,Informal Worker,False,True,True,True,Free Tertiary Education;Paid Annual Course;Paid Quarterly Course,FullStack Java,2022-1,Quite a Bit,False
599,129,35-44,Tertiary Complete,No Programming Knowledge,Junior,Unemployed and Looking for Work,Unemployed and Looking for Work,Employee,Self-employed,False,False,False,True,Free Tertiary Education,FullStack Python,2020-2,Neutral,True
